Symptom,cate
What are the symptoms of Hypophosphatemic rickets ?,Hypophosphatemic rickets
What are the symptoms of Porencephaly cerebellar hypoplasia internal malformations ?,Porencephaly cerebellar hypoplasia internal malformations
What are the symptoms of Brachydactyly type A4 ?,Brachydactyly type A4
What are the symptoms of Pneumonia ?,Pneumonia
What are the symptoms of Q Fever ?,Q Fever
What are the symptoms of Tracheobronchomalacia ?,Tracheobronchomalacia
What are the symptoms of Hairy palms and soles ?,Hairy palms and soles
What are the symptoms of Transitional Cell Cancer of the Renal Pelvis and Ureter ?,Transitional Cell Cancer of the Renal Pelvis and Ureter
What are the symptoms of STAR syndrome ?,STAR syndrome
What are the symptoms of Osteopetrosis autosomal recessive 7 ?,Osteopetrosis autosomal recessive 7
What are the symptoms of Lung agenesis ?,Lung agenesis
What are the symptoms of Mitral Valve Prolapse ?,Mitral Valve Prolapse
What are the symptoms of Non 24 hour sleep wake disorder ?,Non 24 hour sleep wake disorder
What are the symptoms of Arthrogryposis like disorder ?,Arthrogryposis like disorder
What are the symptoms of Rheumatoid nodulosis ?,Rheumatoid nodulosis
What are the symptoms of Chromosome 1q41-q42 deletion syndrome ?,Chromosome 1q41-q42 deletion syndrome
What are the symptoms of Lubinsky syndrome ?,Lubinsky syndrome
What are the symptoms of Hyper-IgD syndrome ?,Hyper-IgD syndrome
"What are the symptoms of Thyroid cancer, follicular ?","Thyroid cancer, follicular"
What are the symptoms of Spastic paraplegia facial cutaneous lesions ?,Spastic paraplegia facial cutaneous lesions
What are the symptoms of Von Willebrand disease ?,Von Willebrand disease
What are the symptoms of Limb-girdle muscular dystrophy type 2H ?,Limb-girdle muscular dystrophy type 2H
What are the symptoms of Congenital anosmia ?,Congenital anosmia
What are the symptoms of Hemochromatosis type 1 ?,Hemochromatosis type 1
What are the symptoms of Pityriasis lichenoides chronica ?,Pityriasis lichenoides chronica
What are the symptoms of Alveolar capillary dysplasia ?,Alveolar capillary dysplasia
What are the symptoms of Disseminated Intravascular Coagulation ?,Disseminated Intravascular Coagulation
What are the symptoms of Diabetes ?,Diabetes
What are the symptoms of Meckel syndrome type 2 ?,Meckel syndrome type 2
What are the symptoms of Tyrosinemia type 1 ?,Tyrosinemia type 1
What are the symptoms of Joubert syndrome ?,Joubert syndrome
What are the symptoms of Cardiofaciocutaneous syndrome ?,Cardiofaciocutaneous syndrome
"What are the symptoms of Renal tubular acidosis, distal, autosomal dominant ?","Renal tubular acidosis, distal, autosomal dominant"
What are the symptoms of Spondylometaphyseal dysplasia Algerian type ?,Spondylometaphyseal dysplasia Algerian type
What are the symptoms of Familial congenital fourth cranial nerve palsy ?,Familial congenital fourth cranial nerve palsy
What are the symptoms of Neuropathy ataxia retinitis pigmentosa syndrome ?,Neuropathy ataxia retinitis pigmentosa syndrome
What are the symptoms of Anonychia-onychodystrophy with hypoplasia or absence of distal phalanges ?,Anonychia-onychodystrophy with hypoplasia or absence of distal phalanges
What are the symptoms of Hyperthermia induced defects ?,Hyperthermia induced defects
What are the symptoms of Pycnodysostosis ?,Pycnodysostosis
What are the symptoms of Aicardi-Goutieres syndrome type 3 ?,Aicardi-Goutieres syndrome type 3
What are the symptoms of Sjogren syndrome ?,Sjogren syndrome
What are the symptoms of Fumarase deficiency ?,Fumarase deficiency
What are the symptoms of Salcedo syndrome ?,Salcedo syndrome
What are the symptoms of Potocki-Lupski syndrome ?,Potocki-Lupski syndrome
What are the symptoms of Diverticular Disease ?,Diverticular Disease
What are the symptoms of Hemophagocytic lymphohistiocytosis ?,Hemophagocytic lymphohistiocytosis
What are the symptoms of Michels syndrome ?,Michels syndrome
What are the symptoms of Hypochondroplasia ?,Hypochondroplasia
What are the symptoms of Osteogenesis imperfecta type III ?,Osteogenesis imperfecta type III
What are the symptoms of Russell-Silver syndrome ?,Russell-Silver syndrome
What are the symptoms of Tietze syndrome ?,Tietze syndrome
What are the symptoms of Dowling-Degos disease ?,Dowling-Degos disease
What are the symptoms of Coenzyme Q10 deficiency ?,Coenzyme Q10 deficiency
What are the symptoms of Punctate palmoplantar keratoderma type 2 ?,Punctate palmoplantar keratoderma type 2
What are the symptoms of Poland syndrome ?,Poland syndrome
What are the symptoms of Charcot-Marie-Tooth disease type 1D ?,Charcot-Marie-Tooth disease type 1D
What are the symptoms of Mineral and Bone Disorder in Chronic Kidney Disease ?,Mineral and Bone Disorder in Chronic Kidney Disease
What are the symptoms of Marinesco-Sjogren syndrome ?,Marinesco-Sjogren syndrome
What are the symptoms of Osteoporosis ?,Osteoporosis
What are the symptoms of Microscopic polyangiitis ?,Microscopic polyangiitis
What are the symptoms of Succinic acidemia ?,Succinic acidemia
What are the symptoms of Congenital primary aphakia ?,Congenital primary aphakia
What are the symptoms of Marie Unna congenital hypotrichosis ?,Marie Unna congenital hypotrichosis
What are the symptoms of Focal facial dermal dysplasia ?,Focal facial dermal dysplasia
What are the symptoms of Acatalasemia ?,Acatalasemia
What are the symptoms of Long QT syndrome ?,Long QT syndrome
"What are the symptoms of Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome ?","Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome"
What are the symptoms of Isobutyryl-CoA dehydrogenase deficiency ?,Isobutyryl-CoA dehydrogenase deficiency
"What are the symptoms of Synovial chondromatosis, familial with dwarfism ?","Synovial chondromatosis, familial with dwarfism"
What are the symptoms of Hyperparathyroidism-jaw tumor syndrome ?,Hyperparathyroidism-jaw tumor syndrome
What are the symptoms of Torg Winchester syndrome ?,Torg Winchester syndrome
What are the symptoms of Ankylosing spondylitis ?,Ankylosing spondylitis
"What are the symptoms of Porokeratosis, disseminated superficial actinic 2 ?","Porokeratosis, disseminated superficial actinic 2"
What are the symptoms of Familial joint instability syndrome ?,Familial joint instability syndrome
What are the symptoms of Cushing's Syndrome ?,Cushing's Syndrome
What are the symptoms of Crisponi syndrome ?,Crisponi syndrome
What are the symptoms of Short limb dwarf lethal Colavita Kozlowski type ?,Short limb dwarf lethal Colavita Kozlowski type
What are the symptoms of Rhizomelic chondrodysplasia punctata type 3 ?,Rhizomelic chondrodysplasia punctata type 3
What are the symptoms of Spinocerebellar ataxia 40 ?,Spinocerebellar ataxia 40
What are the symptoms of Megalocornea-intellectual disability syndrome ?,Megalocornea-intellectual disability syndrome
"What are the symptoms of Autosomal recessive optic atrophy, hearing loss, and peripheral neuropathy ?","Autosomal recessive optic atrophy, hearing loss, and peripheral neuropathy"
What are the symptoms of Renal dysplasia-limb defects syndrome ?,Renal dysplasia-limb defects syndrome
What are the symptoms of Thymoma and Thymic Carcinoma ?,Thymoma and Thymic Carcinoma
What are the symptoms of Spondylocarpotarsal synostosis syndrome ?,Spondylocarpotarsal synostosis syndrome
What are the symptoms of Fetal hydantoin syndrome ?,Fetal hydantoin syndrome
What are the symptoms of Acroosteolysis dominant type ?,Acroosteolysis dominant type
What are the symptoms of Glycogen storage disease type 1B ?,Glycogen storage disease type 1B
What are the symptoms of Ewing Sarcoma ?,Ewing Sarcoma
What are the symptoms of Prothrombin thrombophilia ?,Prothrombin thrombophilia
What are the symptoms of Methionine adenosyltransferase deficiency ?,Methionine adenosyltransferase deficiency
What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type E ?,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E
What are the symptoms of Spondylocostal dysostosis 1 ?,Spondylocostal dysostosis 1
What are the symptoms of Sotos syndrome ?,Sotos syndrome
What are the symptoms of Leiomyoma of vulva and esophagus ?,Leiomyoma of vulva and esophagus
What are the symptoms of Gestational Trophoblastic Disease ?,Gestational Trophoblastic Disease
What are the symptoms of Renal tubular acidosis with deafness ?,Renal tubular acidosis with deafness
What are the symptoms of Charcot-Marie-Tooth disease type 1B ?,Charcot-Marie-Tooth disease type 1B
What are the symptoms of Gupta Patton syndrome ?,Gupta Patton syndrome
What are the symptoms of Battaglia-Neri syndrome ?,Battaglia-Neri syndrome
What are the symptoms of Congenital radio-ulnar synostosis ?,Congenital radio-ulnar synostosis
What are the symptoms of Vohwinkel syndrome ?,Vohwinkel syndrome
What are the symptoms of Epilepsy progressive myoclonic type 3 ?,Epilepsy progressive myoclonic type 3
What are the symptoms of X-linked creatine deficiency ?,X-linked creatine deficiency
What are the symptoms of Loeys-Dietz syndrome type 4 ?,Loeys-Dietz syndrome type 4
"What are the symptoms of Cataracts, ataxia, short stature, and mental retardation ?","Cataracts, ataxia, short stature, and mental retardation"
"What are the symptoms of Progressive external ophthalmoplegia, autosomal recessive 1 ?","Progressive external ophthalmoplegia, autosomal recessive 1"
What are the symptoms of Dyggve-Melchior-Clausen syndrome ?,Dyggve-Melchior-Clausen syndrome
"What are the symptoms of Gingival fibromatosis, 1 ?","Gingival fibromatosis, 1"
What are the symptoms of Ring chromosome 10 ?,Ring chromosome 10
What are the symptoms of Schimke immunoosseous dysplasia ?,Schimke immunoosseous dysplasia
What are the symptoms of Muscular atrophy ataxia retinitis pigmentosa and diabetes mellitus ?,Muscular atrophy ataxia retinitis pigmentosa and diabetes mellitus
What are the symptoms of Swyer-James syndrome ?,Swyer-James syndrome
What are the symptoms of Branchiooculofacial syndrome ?,Branchiooculofacial syndrome
What are the symptoms of Athabaskan brainstem dysgenesis ?,Athabaskan brainstem dysgenesis
What are the symptoms of Infantile spasms broad thumbs ?,Infantile spasms broad thumbs
What are the symptoms of Spondyloepiphyseal dysplasia Maroteaux type ?,Spondyloepiphyseal dysplasia Maroteaux type
What are the symptoms of Lenz microphthalmia syndrome ?,Lenz microphthalmia syndrome
What are the symptoms of Thalassemias ?,Thalassemias
What are the symptoms of Lethal short limb skeletal dysplasia Al Gazali type ?,Lethal short limb skeletal dysplasia Al Gazali type
What are the symptoms of Chorea-acanthocytosis ?,Chorea-acanthocytosis
What are the symptoms of Angelman syndrome ?,Angelman syndrome
"What are the symptoms of Deafness, dystonia, and cerebral hypomyelination ?","Deafness, dystonia, and cerebral hypomyelination"
What are the symptoms of Treacher Collins syndrome 3 ?,Treacher Collins syndrome 3
What are the symptoms of Primary Familial Brain Calcification ?,Primary Familial Brain Calcification
What are the symptoms of Intellectual deficit - short stature - hypertelorism ?,Intellectual deficit - short stature - hypertelorism
What are the symptoms of Sturge-Weber syndrome ?,Sturge-Weber syndrome
What are the symptoms of Thyrotoxic periodic paralysis ?,Thyrotoxic periodic paralysis
What are the symptoms of Spinocerebellar ataxia 11 ?,Spinocerebellar ataxia 11
What are the symptoms of Multiple endocrine neoplasia type 2B ?,Multiple endocrine neoplasia type 2B
What are the symptoms of Cutaneous mastocytoma ?,Cutaneous mastocytoma
What are the symptoms of Hyperinsulinemic hypoglycemia familial 2 ?,Hyperinsulinemic hypoglycemia familial 2
What are the symptoms of RHYNS syndrome ?,RHYNS syndrome
What are the symptoms of IVIC syndrome ?,IVIC syndrome
What are the symptoms of Westphal disease ?,Westphal disease
What are the symptoms of White sponge nevus of cannon ?,White sponge nevus of cannon
What are the symptoms of Diabetic Neuropathies: The Nerve Damage of Diabetes ?,Diabetic Neuropathies: The Nerve Damage of Diabetes
What are the symptoms of Hypokalemic periodic paralysis ?,Hypokalemic periodic paralysis
What are the symptoms of Chromosome 19q13.11 deletion syndrome ?,Chromosome 19q13.11 deletion syndrome
What are the symptoms of Microphthalmia syndromic 8 ?,Microphthalmia syndromic 8
What are the symptoms of Tarsal tunnel syndrome ?,Tarsal tunnel syndrome
What are the symptoms of Primary Ciliary Dyskinesia ?,Primary Ciliary Dyskinesia
What are the symptoms of Trichothiodystrophy nonphotosensitive ?,Trichothiodystrophy nonphotosensitive
What are the symptoms of Multiple pterygium syndrome Escobar type ?,Multiple pterygium syndrome Escobar type
What are the symptoms of Carney triad ?,Carney triad
What are the symptoms of Asbestos-Related Lung Diseases ?,Asbestos-Related Lung Diseases
"What are the symptoms of Neuropathy, congenital, with arthrogryposis multiplex ?","Neuropathy, congenital, with arthrogryposis multiplex"
What are the symptoms of Isolated anterior cervical hypertrichosis ?,Isolated anterior cervical hypertrichosis
"What are the symptoms of Mental retardation X-linked, South African type ?","Mental retardation X-linked, South African type"
What are the symptoms of Keratolytic winter erythema ?,Keratolytic winter erythema
What are the symptoms of Odontoma dysphagia syndrome ?,Odontoma dysphagia syndrome
What are the symptoms of Familial partial lipodystrophy associated with PPARG mutations ?,Familial partial lipodystrophy associated with PPARG mutations
What are the symptoms of Familial encephalopathy with neuroserpin inclusion bodies ?,Familial encephalopathy with neuroserpin inclusion bodies
"What are the symptoms of Usher syndrome, type 1B ?","Usher syndrome, type 1B"
What are the symptoms of Loeys-Dietz syndrome type 2 ?,Loeys-Dietz syndrome type 2
What are the symptoms of Fallot complex with severe mental and growth retardation ?,Fallot complex with severe mental and growth retardation
What are the symptoms of Cone dystrophy X-linked with tapetal-like sheen ?,Cone dystrophy X-linked with tapetal-like sheen
What are the symptoms of Autosomal dominant optic atrophy plus syndrome ?,Autosomal dominant optic atrophy plus syndrome
What are the symptoms of Marfan syndrome ?,Marfan syndrome
What are the symptoms of Microhydranencephaly ?,Microhydranencephaly
What are the symptoms of Mucopolysaccharidosis type VII ?,Mucopolysaccharidosis type VII
